id_referencia,referencia
ref_c10215b87111cd3b,National Commission for Sustainable Development Action Plan: 2017-2019. Available at: <www4.planalto.gov.br/ods/publicacoes/plano-de-acao-da-cnods-2017-2019>
ref_b59d12285ce9d013,GTSC A2030. Concerning Note [Nota de Preocupação]. 04/03/2020. Available at: <brasilnaagenda2030.files.wordpress.com/2020/03/nota-de-preocupac387c383o-04.03.2020-1.pdf>
ref_53638f169c0da71b,"National Household Sample Survey - Income from all sources. [Pesquisa Nacional por Amostra de Domicílios Contínua (PNAD Contínua) - Rendimento de todas as fontes], IBGE."
ref_dacd73b0e4c144e2,Estimation by Getúlio Vargas Foundation from PNAD Contínua data.
ref_e639ac1a96b33fd0,"National Household Sample Survey. [Pesquisa Nacional por Amostra de Domicílios Contínua (PNAD Contínua)], IBGE."
ref_c74673957c47788c,"Portal Siga Brasil, based on Sistema Integrado de Administração Financeira (SIAFI) data and other databases on public expenditures. Available at: <www12.senado.leg.br/orcamento/sigabrasil>"
ref_fa71cf23a5d9ed2f,"UN chief regrets loss of 200,000 lives and details UN response [Chefe da ONU lamenta perda de 200 mil vidas e detalha resposta da ONU]. UN News. 30/04/2020. Available at: <news.un.org/pt/story/2020/04/1712152>"
ref_9cf0dfc6355d8078,Technical Note: Impact of the COVID-19 pandemic on greenhouse gas emissions in Brazil. System for Estimating Greenhouse Gas Emissions and Removals (SEEG) and Climate Observatory (OC). May 2020. Available at: <www.observatoriodoclima.eco.br/wp-content/uploads/2020/05/SEEG-OC_Nota_Tecnica_Covid19_Final.pdf>
ref_cdf9b20c0e045933,Law 13.982/2020. Available at: <www.in.gov.br/en/web/dou/-/lei-n-13.982-de-2-de-abril-de-2020-250915958>
ref_7fd3b773b2ceb928,Technical Note of “The basic income we want” campaign: main obstacles and proposals to solve Emergency aid implementation. [Nota Técnica da campanha Renda Básica que Queremos: Principais obstáculos e propostas de solução para a devida implementação da Renda Básica Emergencial] Available at: <drive.google.com/file/d/1Y3R1VJKPW9P-5joEFmTtS_w-16y4Fy5H/view>
ref_e3dc3a106bf32d38,"Emergency Aid: 9.7 million waiting for analysis. [Auxílio Emergencial: 9,7 milhões aguardam análise]. Portal de notícias G1. 24/05/2020. Available at: <g1.globo.com/economia/noticia/2020/05/24/auxilio-emergencial-97-milhoes-aguardam-analise.ghtml>"
ref_8731e129bbb110e3,Law 13.987/2020. Available at: <www.in.gov.br/en/web/dou/-/lei-n-13.987-de-7-de-abril-de-2020-251562793>
ref_e67153461a7552cf,Senate approves postponement of ENEM; matter goes to the Congress [Senado aprova adiamento do ENEM; matéria vai à Câmara]. Senate News. 19/052020. Available at: <www12.senado.leg.br/noticias/materias/2020/05/19/senado-aprova-adiamento-do-enem-2020-materia-vai-a-camara>
ref_a06c8f434ef4de0e,"Reports registered by Ligue 180 increased on the first four months of 2020. [Denúncias registradas pelo Ligue 180 aumentam nos quatro primeiros meses de 2020]. Ministério da Mulher, Família e Direitos Humanos. May 2020. Available at: <www.gov.br/mdh/pt-br/assuntos/noticias/2020-2/maio/denuncias-registradas-pelo-ligue-180-aumentam-nos-quatro-primeiros-meses-de-2020>"
ref_f17b9df0a2d3a433,War has a woman’s face: health workers fighting COVID-19. [A guerra tem rosto de mulher: trabalhadoras da saúde no enfrentamento à CO-VID-19]. Associação Nacional dos Especialistas em políticas Públicas e Gestão Governamental. 16/04/2020. Available at: <anesp.org.br/todas-as-noti-cias/2020/4/16/a-guerra-tem-rosto-de-mulher-trabalhadoras-da-sade-no-enfrentamento-covid-19>
ref_bce12ae76cdb3676,"Social differences: blacks dying more of COVID-19 than whites, according to NT11. [Diferenças sociais: pretos e pardos morrem mais de COVID-19 do que brancos, segundo NT11 do Nois]. Centro Técnico Científico - PUC-Rio. 27/05/2020. Available at:<www.ctc.puc-rio.br/diferencas-sociais-confirmam-que-pretos-e-pardos-morrem-mais-de-covid-19-do-que-brancos-segundo-nt11-do-nois/>"
ref_b592f69b51515641,Why do indigenous charge the government of underreporting COVID-19 [Por que indígenas acusam o governo federal de subnotificar a COVID-19]. Nexo Jornal. 09/06/2020. Available at: <www.nexojornal.com.br/expresso/2020/06/09/Por-que-ind%C3%ADgenas-acusam-o-governo-de-subnotificar-a-covid-19>
ref_ae0fe95a66054893,Supreme Court’s decision on states’ and municipalities’ isolation echoes in the Senate. [Decisão do STF sobre isolamento de estados e municípios repercute no Senado]. Senado Notícias. 04/16/2020. Available at: <www12.senado.leg.br/noticias/materias/2020/04/16/decisao-do-stf-sobre-isolamento-de-estados-e-municipios-repercute-no-senado>
ref_5b90a2f1a7efbc95,The flight of foreign capital from the Brazilian stock exchange reaches a new record [Fuga de capital estrangeiro da Bolsa brasileira é recorde]. Infomoney. 07/03/2020. Available at: <www.infomoney.com.br/mercados/fuga-de-capital-estrangeiro-da-bolsa-brasileira-e-recorde/>
ref_5742d7ed6a517456,ECLAC highlights the value of regional dimension as a force to connect global processes and the new national realities generated by COVID-19 in the face of the challenge of fulfilling Agenda 2030. ECLAC Portal. 20/05/2020. Available at: <www.cepal.org/es/comunicados/cepal-destaca-valor-dimension-regional-como-puente-conectar-procesos-globales-nuevas>
ref_807988dd573cd6ae,Civil Society demands end of expenditure ceiling. [Sociedade civil pede fim do teto de gasto]. GT Agenda 2030. 26/05/2020. Available at: <gtagenda2030.org.br/2020/05/26/sociedade-civil-pede-o-fim-do-teto-de-gastos/>
ref_a522c2da43080b48,"KANT, I., Fundamentação da Metafísica dos Costumes. São Paulo: Barcarola/Discurso Editorial, 2009."
ref_17edd47a65d9f6ae,"LÉVY, P. Cibercultura. Tradução de Carlos Irineu da Costa.— São Paulo: Ed. 34, 1999."
ref_cd918a64473c4351,"LONGO, Walter. O Fim da Idade Média e o Início da Idade Mídia. Rio de Janeiro: Alta Books, 2019."
ref_99848fef542f5b2d,"MCLUHAN, M. A galáxia de Gutenberg: a formação do homem tipográfico. São. Paulo: Nacional, 1977."
ref_f4dccde358d70b7e,"MATURANA, H. A árvore do conhecimento: as bases biológicas da compreensão humana. São Paulo: Palas Athena, 2005."
ref_a212b091f25a6afc,"MORIN, Edgar. Introdução ao pensamento complexo. Lisboa: Instituto Piaget, 1991."
ref_356d1867526dd15b,"MOROZOV, E.; BRIA, F. A cidade inteligente – Tecnologias urbanas e democracia. São Paulo: Ubu, 2019."
ref_1194a3e78eb6eae8,"O Brasil de Betinho / organizadores: Dulce Pandolfi, Augusto Gazir e Lucas Corrêa. Rio de Janeiro: Mórula Editorial, 2012."
ref_80f413463b90caa9,"OLIVEIRA, M. Araújo de. Ética e práxis histórica. São Paulo: Ática, 1995."
ref_99fb24f277c2677b,"PILATI, R.; HEES, M. A. G. Evidências de validade de uma versão brasileira do Inventário de Funções do Voluntariado – IFV. Psico-USF, v. 16, n. 3, p. 275-284, 2011."
ref_20fa9d53b769dc98,"PRIGOGINE, Ilya. O fim das certezas: tempo, caos e as leis da natureza. São Paulo: UNESP, 1996."
ref_4ab7b4bccca62c84,"REALE, Giovanni; ANTISERI, Dario. História da Filosofia. São Paulo: Paulus, 2003."
ref_4e20ebf12a8c74ec,"ROUSSEAU, Jean-Jacques. O Contrato Social. 6.ed.São Paulo: Brasil Editora, 1960."
ref_3c6543764909d482,"SACHS, Ignacy. Caminhos para o desenvolvimento sustentável. 3.ed. Rio de Janeiro: Garamond, 2008."
ref_13c371e88a31b363,"SBERGA, Adair Aparecida. Voluntariado jovem: construção da identidade e educação sociopolítica. São Paulo: Salesiana, 2001."
ref_4c3754433dce9972,"SCHRÖDINGER, E. O que é vida?: o aspecto físico da célula viva. São Paulo: UNESP, 1997."
ref_dfbbf8fa8f502bdd,"SCHUMACHER, E. F. O negócio é ser pequeno – Um estudo que leva em conta as pessoas. Trad. Octávio Alves Velho. Rio de Janeiro: Zahar Editores, 1983."
ref_a4314f344c1b0010,"SERRES, Michel. O contrato natural. Lisboa: Instituto Piaget, 1990."
ref_a055539ca9495bab,"SOWCIK, M. Leadership 2050: Critical Challenges, Key Contexts, and Emerging Trends. Bingley: Emerald Group Publishing, 2015."
ref_5236c8950c741ba6,"TOYNBEE, A. J. A humanidade e a mãe Terra: uma história narrativa do mundo. Rio de Janeiro: Zahar Editores, 1978."
ref_8fb3916b6643c4be,"UBALDI, P. A Grande Síntese: síntese e solução dos problemas da ciência e do espírito. 17. ed. Rio de Janeiro: Fraternidade Francisco de Assis, 1992."
ref_d067adb0e32ff7ac,"UBALDI, P. A Nova Civilização do Terceiro Milênio. Rio de Janeiro: Fundapu, 1980."
ref_0c09373fd5055049,"UBALDI, P. Princípios de uma Nova Ética. 4. ed. Rio de Janeiro: Fundapu, 1988."
